Sensors;Cores
3;0
Time;pc 0;pc 1;pc 2;pc 3;current 0;current 1;current 2;current 3;current 4;current 5;current 6;voltage 0;voltage 1;voltage 2;voltage 3;voltage 4;voltage 5;voltage 6
0;0;0;0;0;0.406276;0.00493843;3.58506;0;0;0;0;5.11319;1.50475;0.0125163;0;0;0;0
8.775e-05;0;0;0;0;0.399339;0.00485774;3.58506;0;0;0;0;5.11165;1.50397;0.0125163;0;0;0;0
0.000174562;0;0;0;0;0.471456;0.00485774;-0.767349;0;0;0;0;5.11936;1.50939;0.0132881;0;0;0;0
0.000261333;0;0;0;0;0.506304;0.00485774;-0.767349;0;0;0;0;5.11859;1.50784;0.0125163;0;0;0;0
0.0003485;0;0;0;0;0.455;0.00485774;-0.767349;0;0;0;0;5.11242;1.50784;0.0125163;0;0;0;0
0.000435271;0;0;0;0;0.462098;0.00485774;2.49696;0;0;0;0;5.11473;1.50475;0.0125163;0;0;0;0
0.000522438;0;0;0;0;0.441932;0.00485774;-0.767349;0;0;0;0;5.11705;1.50784;0.0125163;0;0;0;0
0.000609292;0;0;0;0;0.423862;0.00485774;-6.20787;0;0;0;0;5.11319;1.50552;0.0125163;0;0;0;0
0.000697;0;0;0;0;0.414343;0.00485774;1.40886;0;0;0;0;5.11319;1.50784;0.0125163;0;0;0;0
0.000783813;0;0;0;0;0.41031;0.00485774;-4.03166;0;0;0;0;5.11088;1.50784;0.0132881;0;0;0;0
0.000870979;0;0;0;0;0.40434;0.00485774;0.320755;0;0;0;0;5.11165;1.50552;0.0125163;0;0;0;0
0.000958146;0;0;0;0;0.409826;0.00485774;-4.03166;0;0;0;0;5.11396;1.50475;0.0125163;0;0;0;0
0.00104531;0;0;0;0;0.401759;0.00485774;-4.03166;0;0;0;0;5.11242;1.50629;0.0125163;0;0;0;0
0.00113248;0;0;0;0;0.400307;0.00485774;-6.20787;0;0;0;0;5.1101;1.50784;0.0125163;0;0;0;0
0.00121965;0;0;0;0;0.406438;0.00485774;0.320755;0;0;0;0;5.10856;1.50707;0.0125163;0;0;0;0
0.00130681;0;0;0;0;0.408696;0.00485774;0.320755;0;0;0;0;5.10702;1.50552;0.0117446;0;0;0;0
0.00139398;0;0;0;0;0.407406;0.00485774;0.320755;0;0;0;0;5.10856;1.50784;0.0125163;0;0;0;0
0.00148115;0;0;0;0;0.404986;0.00485774;-0.767349;0;0;0;0;5.1101;1.50552;0.0125163;0;0;0;0
0.00156831;0;0;0;0;0.404018;0.00485774;1.40886;0;0;0;0;5.10933;1.50552;0.0132881;0;0;0;0
0.00165552;0;0;0;0;0.401598;0.00485774;1.40886;0;0;0;0;5.11242;1.50707;0.0132881;0;0;0;0
0.00174323;0;0;0;0;0.394176;0.00485774;-2.94356;0;0;0;0;5.10933;1.50707;0.0117446;0;0;0;0
0.00183004;0;0;0;0;0.400791;0.00485774;0.320755;0;0;0;0;5.11859;1.50629;0.0140598;0;0;0;0
0.00191721;0;0;0;0;0.391918;0.00485774;-2.94356;0;0;0;0;5.11319;1.50629;0.0125163;0;0;0;0
0.00200438;0;0;0;0;0.397887;0.00485774;-4.03166;0;0;0;0;5.11088;1.50939;0.0132881;0;0;0;0
0.00209154;0;0;0;0;0.399339;0.00493843;1.40886;0;0;0;0;5.11242;1.50707;0.0125163;0;0;0;0
0.00217871;0;0;0;0;0.399339;0.00485774;0.320755;0;0;0;0;5.11242;1.50861;0.0132881;0;0;0;0
0.00226588;0;0;0;0;0.396435;0.00485774;5.76127;0;0;0;0;5.10933;1.50707;0.0132881;0;0;0;0
0.00235304;0;0;0;0;0.401114;0.00485774;1.40886;0;0;0;0;5.11396;1.50629;0.0132881;0;0;0;0
0.00244021;0;0;0;0;0.399662;0.00485774;4.67317;0;0;0;0;5.11165;1.50707;0.0117446;0;0;0;0
0.00252738;0;0;0;0;0.398855;0.00485774;0.320755;0;0;0;0;5.10856;1.50707;0.0132881;0;0;0;0
0.00261463;0;0;0;0;0.396435;0.00485774;-1.85545;0;0;0;0;5.11165;1.50939;0.0125163;0;0;0;0
0.00270233;0;0;0;0;0.402243;0.00485774;0.320755;0;0;0;0;5.11088;1.50475;0.0125163;0;0;0;0
0.00279663;0;0;0;0;0.403211;0.00518049;14.4661;0;0;0;0;5.12167;1.51325;0.016375;0;0;0;0
0.00288437;0;0;0;0;0.399984;0.00485774;-13.8246;0;0;0;0;5.09853;1.49624;0.0125163;0;0;0;0
0.00297119;0;0;0;0;0.401275;0.0050998;14.4661;0;0;0;0;5.11936;1.51557;0.0140598;0;0;0;0
0.00305796;0;0;0;0;0.404179;0.00501911;16.6423;0;0;0;0;5.11705;1.51557;0.0171467;0;0;0;0
0.00314521;0;0;0;0;0.399339;0.00485774;-17.0889;0;0;0;0;5.1101;1.49546;0.0102011;0;0;0;0
0.00323198;0;0;0;0;0.398048;0.00485774;-4.03166;0;0;0;0;5.1047;1.49392;0.0132881;0;0;0;0
0.00331915;0;0;0;0;0.398855;0.00485774;9.02558;0;0;0;0;5.11936;1.52099;0.0179184;0;0;0;0
0.00340592;0;0;0;0;0.40192;0.00485774;-13.8246;0;0;0;0;5.0993;1.50397;0.0102011;0;0;0;0
0.0034931;0;0;0;0;0.400468;0.00485774;4.67317;0;0;0;0;5.1263;1.52099;0.0140598;0;0;0;0
0.0035799;0;0;0;0;0.398048;0.00485774;-20.3532;0;0;0;0;5.1047;1.49469;0.0125163;0;0;0;0
0.00366715;0;0;0;0;0.401436;0.00485774;-20.3532;0;0;0;0;5.09699;1.49933;0.0117446;0;0;0;0
0.0037549;0;0;0;0;0.402082;0.00534186;4.67317;0;0;0;0;5.12013;1.51944;0.0171467;0;0;0;0
