Sensors;Cores
3;0
Time;pc 0;pc 1;pc 2;pc 3;current 0;current 1;current 2;current 3;current 4;current 5;current 6;voltage 0;voltage 1;voltage 2;voltage 3;voltage 4;voltage 5;voltage 6
0;0;0;0;0;0.408696;0.00485774;2.49696;0;0;0;0;5.11165;1.50629;0.0132881;0;0;0;0
8.775e-05;0;0;0;0;0.409342;0.00485774;-0.767349;0;0;0;0;5.11088;1.50784;0.0156032;0;0;0;0
0.000174562;0;0;0;0;0.411923;0.00485774;-2.94356;0;0;0;0;5.11088;1.50784;0.0125163;0;0;0;0
0.000261333;0;0;0;0;0.414505;0.00485774;5.76127;0;0;0;0;5.10933;1.50552;0.0132881;0;0;0;0
0.0003485;0;0;0;0;0.408696;0.00485774;-0.767349;0;0;0;0;5.11088;1.50784;0.0125163;0;0;0;0
0.000435271;0;0;0;0;0.409987;0.00485774;2.49696;0;0;0;0;5.11165;1.51093;0.0125163;0;0;0;0
0.000522438;0;0;0;0;0.405792;0.00485774;1.40886;0;0;0;0;5.11242;1.51016;0.0125163;0;0;0;0
0.000609208;0;0;0;0;0.404986;0.00485774;0.320755;0;0;0;0;5.11165;1.50784;0.0125163;0;0;0;0
0.000698958;0;0;0;0;0.406599;0.00485774;-1.85545;0;0;0;0;5.11396;1.50707;0.0132881;0;0;0;0
0.000785771;0;0;0;0;0.406922;0.00485774;-0.767349;0;0;0;0;5.11088;1.50629;0.0132881;0;0;0;0
0.000872938;0;0;0;0;0.407728;0.00493843;0.320755;0;0;0;0;5.11396;1.50784;0.0125163;0;0;0;0
0.000960104;0;0;0;0;0.405792;0.00485774;-1.85545;0;0;0;0;5.11088;1.50707;0.0132881;0;0;0;0
0.00104727;0;0;0;0;0.40305;0.00485774;0.320755;0;0;0;0;5.11319;1.50707;0.0125163;0;0;0;0
0.00113444;0;0;0;0;0.40676;0.00485774;1.40886;0;0;0;0;5.11473;1.51093;0.0132881;0;0;0;0
0.0012216;0;0;0;0;0.402727;0.00485774;3.58506;0;0;0;0;5.11396;1.50861;0.0132881;0;0;0;0
0.00130877;0;0;0;0;0.408858;0.00485774;2.49696;0;0;0;0;5.11705;1.50784;0.0125163;0;0;0;0
0.00139594;0;0;0;0;0.403695;0.00485774;4.67317;0;0;0;0;5.11396;1.50861;0.0125163;0;0;0;0
0.0014831;0;0;0;0;0.404179;0.00485774;-1.85545;0;0;0;0;5.11473;1.50707;0.0125163;0;0;0;0
0.00157027;0;0;0;0;0.408051;0.00485774;-0.767349;0;0;0;0;5.11242;1.51093;0.0132881;0;0;0;0
0.00165754;0;0;0;0;0.409826;0.00485774;0.320755;0;0;0;0;5.10779;1.50784;0.0125163;0;0;0;0
0.00174525;0;0;0;0;0.41273;0.00485774;5.76127;0;0;0;0;5.1101;1.50707;0.0125163;0;0;0;0
0.00183206;0;0;0;0;0.405308;0.00485774;1.40886;0;0;0;0;5.11088;1.50629;0.0125163;0;0;0;0
0.00191923;0;0;0;0;0.411117;0.00485774;5.76127;0;0;0;0;5.11088;1.50861;0.0132881;0;0;0;0
0.0020064;0;0;0;0;0.409826;0.00485774;1.40886;0;0;0;0;5.1155;1.50784;0.0140598;0;0;0;0
0.00209356;0;0;0;0;0.403211;0.00485774;0.320755;0;0;0;0;5.11088;1.50707;0.0125163;0;0;0;0
0.00218073;0;0;0;0;0.406599;0.00485774;1.40886;0;0;0;0;5.11165;1.50861;0.0132881;0;0;0;0
0.0022679;0;0;0;0;0.399178;0.00493843;2.49696;0;0;0;0;5.11319;1.50784;0.0125163;0;0;0;0
0.00235506;0;0;0;0;0.401114;0.00485774;3.58506;0;0;0;0;5.11396;1.51093;0.0132881;0;0;0;0
0.00244223;0;0;0;0;0.404986;0.00485774;4.67317;0;0;0;0;5.11319;1.51016;0.0132881;0;0;0;0
0.0025294;0;0;0;0;0.401275;0.00485774;2.49696;0;0;0;0;5.11396;1.51325;0.0125163;0;0;0;0
0.00261663;0;0;0;0;0.406599;0.00485774;0.320755;0;0;0;0;5.10856;1.50861;0.0132881;0;0;0;0
0.00270433;0;0;0;0;0.40676;0.00485774;3.58506;0;0;0;0;5.11165;1.50861;0.0132881;0;0;0;0
0.0027985;0;0;0;0;0.40789;0.00485774;-17.0889;0;0;0;0;5.10008;1.50475;0.0117446;0;0;0;0
0.00288625;0;0;0;0;0.405147;0.0050998;18.8185;0;0;0;0;5.11859;1.52486;0.0156032;0;0;0;0
0.00297308;0;0;0;0;0.403695;0.00518049;15.5542;0;0;0;0;5.12784;1.52099;0.016375;0;0;0;0
0.00305988;0;0;0;0;0.402566;0.00485774;-14.9127;0;0;0;0;5.10239;1.50088;0.0102011;0;0;0;0
0.00314704;0;0;0;0;0.406438;0.00518049;12.2899;0;0;0;0;5.12322;1.51867;0.0132881;0;0;0;0
0.00323383;0;0;0;0;0.402888;0.00485774;-16.0008;0;0;0;0;5.10933;1.49546;0.0125163;0;0;0;0
0.00332102;0;0;0;0;0.403211;0.00485774;-18.177;0;0;0;0;5.0993;1.5001;0.0117446;0;0;0;0
0.00340787;0;0;0;0;0.414182;0.00485774;-9.47217;0;0;0;0;5.10393;1.49546;0.0102011;0;0;0;0
0.00349506;0;0;0;0;0.50211;0.00485774;-16.0008;0;0;0;0;5.1155;1.49546;0.0102011;0;0;0;0
0.00358183;0;0;0;0;0.50582;0.00485774;-14.9127;0;0;0;0;5.10779;1.49546;0.0125163;0;0;0;0
0.00366904;0;0;0;0;0.480491;0.00485774;4.67317;0;0;0;0;5.10702;1.50861;0.0125163;0;0;0;0
0.00375679;0;0;0;0;0.463066;0.00542255;20.9947;0;0;0;0;5.12013;1.5179;0.0140598;0;0;0;0
0.0038436;0;0;0;0;0.459517;0.00485774;-11.6484;0;0;0;0;5.10393;1.49624;0.0117446;0;0;0;0
0.00393037;0;0;0;0;0.439834;0.00485774;-16.0008;0;0;0;0;5.10856;1.49933;0.0117446;0;0;0;0
0.00401758;0;0;0;0;0.434994;0.00501911;14.4661;0;0;0;0;5.11782;1.52408;0.0148315;0;0;0;0
0.00410435;0;0;0;0;0.431122;0.00493843;20.9947;0;0;0;0;5.12322;1.51867;0.0148315;0;0;0;0
0.00419154;0;0;0;0;0.425798;0.00501911;19.9066;0;0;0;0;5.12245;1.51557;0.0171467;0;0;0;0
0.00427831;0;0;0;0;0.425314;0.00542255;7.93748;0;0;0;0;5.12167;1.52486;0.0171467;0;0;0;0
0.00436548;0;0;0;0;0.386432;0.00485774;-17.0889;0;0;0;0;5.10702;1.50707;0.0102011;0;0;0;0
0.00445244;0;0;0;0;0.365943;0.00485774;5.76127;0;0;0;0;5.11165;1.50861;0.0125163;0;0;0;0
0.0045401;0;0;0;0;0.34271;0.00485774;-0.767349;0;0;0;0;5.11319;1.50939;0.0132881;0;0;0;0
0.00462708;0;0;0;0;0.327545;0.00485774;1.40886;0;0;0;0;5.10702;1.50784;0.0132881;0;0;0;0
0.00471471;0;0;0;0;0.330126;0.00485774;-0.767349;0;0;0;0;5.10856;1.50707;0.0125163;0;0;0;0
0.00480187;0;0;0;0;0.324479;0.00485774;-2.94356;0;0;0;0;5.10702;1.50939;0.0125163;0;0;0;0
0.00488904;0;0;0;0;0.315606;0.00485774;1.40886;0;0;0;0;5.1047;1.50707;0.0125163;0;0;0;0
0.00497621;0;0;0;0;0.314638;0.00485774;-0.767349;0;0;0;0;5.10625;1.51016;0.0125163;0;0;0;0
0.00506338;0;0;0;0;0.314638;0.00485774;-1.85545;0;0;0;0;5.10702;1.50707;0.0125163;0;0;0;0
0.00515054;0;0;0;0;0.318187;0.00485774;-1.85545;0;0;0;0;5.10625;1.50861;0.0125163;0;0;0;0
0.00523771;0;0;0;0;0.311573;0.00485774;0.320755;0;0;0;0;5.10779;1.50939;0.0117446;0;0;0;0
0.00532487;0;0;0;0;0.314315;0.00485774;1.40886;0;0;0;0;5.10702;1.50707;0.0125163;0;0;0;0
0.00541204;0;0;0;0;0.314154;0.00485774;1.40886;0;0;0;0;5.1101;1.50861;0.0132881;0;0;0;0
0.00549921;0;0;0;0;0.313993;0.00485774;2.49696;0;0;0;0;5.10933;1.50939;0.0132881;0;0;0;0
0.00559385;0;0;0;0;0.313347;0.00485774;1.40886;0;0;0;0;5.10933;1.50552;0.0125163;0;0;0;0
0.00568163;0;0;0;0;0.310927;0.00485774;1.40886;0;0;0;0;5.10779;1.51016;0.0125163;0;0;0;0
0.00576929;0;0;0;0;0.313025;0.00485774;-1.85545;0;0;0;0;5.10933;1.50861;0.0132881;0;0;0;0
0.00585606;0;0;0;0;0.319962;0.00485774;-0.767349;0;0;0;0;5.11088;1.50784;0.0125163;0;0;0;0
0.00594323;0;0;0;0;0.310927;0.00485774;3.58506;0;0;0;0;5.10933;1.50861;0.0125163;0;0;0;0
0.00603;0;0;0;0;0.311573;0.00485774;1.40886;0;0;0;0;5.10856;1.50939;0.0132881;0;0;0;0
0.00611717;0;0;0;0;0.318349;0.00485774;0.320755;0;0;0;0;5.10933;1.50707;0.0125163;0;0;0;0
0.00620394;0;0;0;0;0.311089;0.00485774;2.49696;0;0;0;0;5.10933;1.50861;0.0125163;0;0;0;0
0.0062911;0;0;0;0;0.320285;0.00485774;-0.767349;0;0;0;0;5.10779;1.50784;0.0132881;0;0;0;0
0.00637787;0;0;0;0;0.315122;0.00485774;2.49696;0;0;0;0;5.10856;1.50784;0.0125163;0;0;0;0
0.00646504;0;0;0;0;0.310443;0.00485774;2.49696;0;0;0;0;5.10702;1.50784;0.0125163;0;0;0;0
0.00655181;0;0;0;0;0.317219;0.00485774;4.67317;0;0;0;0;5.10702;1.50784;0.0125163;0;0;0;0
0.00663919;0;0;0;0;0.307862;0.00485774;5.76127;0;0;0;0;5.11088;1.50939;0.0125163;0;0;0;0
0.00672685;0;0;0;0;0.305442;0.00485774;1.40886;0;0;0;0;5.10933;1.50861;0.0125163;0;0;0;0
0.00681363;0;0;0;0;0.311573;0.00485774;4.67317;0;0;0;0;5.11088;1.50784;0.0132881;0;0;0;0
0.00690079;0;0;0;0;0.313993;0.0050998;1.40886;0;0;0;0;5.1155;1.52254;0.0132881;0;0;0;0
0.00698756;0;0;0;0;0.315767;0.00493843;14.4661;0;0;0;0;5.11627;1.51635;0.0186902;0;0;0;0
0.00707473;0;0;0;0;0.313025;0.00485774;-5.11976;0;0;0;0;5.09545;1.49933;0.0102011;0;0;0;0
0.0071615;0;0;0;0;0.308507;0.00485774;-8.38407;0;0;0;0;5.10393;1.50397;0.0125163;0;0;0;0
0.00724867;0;0;0;0;0.318349;0.0050998;18.8185;0;0;0;0;5.11936;1.52331;0.016375;0;0;0;0
